Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
479,161,2,2,66034.2831607958,5.837516666667,560.500213540336
480,161,3,2,349575.0548035,5.854566666667,768.551947515501
481,162,1,1,1579814.225783,5.856633333333,
482,162,2,2,152977.8451921,5.874183333333,627.534179743524
483,162,3,2,400141.5815261,5.891216666667,790.535218425028
484,163,1,1,7446655.806766,5.893283333333,
485,163,2,2,183302.923901,5.910733333333,812.516971758404
486,163,3,2,44655.4731252605,5.927783333333,880.504955634309
487,164,1,1,7459544.377976,5.929816666667,
488,164,2,2,592301.1505908,5.94705,768.555231052908
489,164,3,2,40333.5024176004,5.9641,828.489682046071
490,165,1,1,1300693.903347,5.966133333333,
491,165,2,2,92040.2732710502,5.98345,627.533795689954
492,165,3,2,18125.3654846286,6.0005,790.534980383404
493,166,1,1,635369.9747206,6.002533333333,
494,166,2,2,35183.6659798256,6.020016666667,285.289425128312
495,166,3,2,27137.5670089653,6.037066666667,663.450927420209
496,167,1,1,736048.5932466,6.039083333333,
497,167,2,2,34957.3154636095,6.056816666667,467.300909523218
498,167,3,2,31297.3656808831,6.073866666667,489.313468571251
499,168,1,1,763842.9468543,6.0759,
500,168,2,2,27441.4599886956,6.093566666667,124.085943433312
501,168,3,2,26246.6981041957,6.1106,279.092821933552
502,169,1,1,744985.5186269,6.112633333333,
503,169,2,2,6455.50429624984,6.130283333333,59.059792811822
504,169,3,2,35822.0188162603,6.147333333333,285.290278662295
505,170,1,1,734812.7321617,6.14935,
506,170,2,2,34029.4163599808,6.166983333333,467.300046368736
507,170,3,2,25553.5805808444,6.184033333333,663.452696904111
508,171,1,1,412614.770848,6.186066666667,
509,171,2,2,4504.11011037703,6.203583333333,124.087077911332
510,171,3,2,26700.2335401751,6.220616666667,279.092025847348
511,172,1,1,751803.2354042,6.222666666667,
